evocrm_evo_core.1.safnn86p596v@swdev    | 🚀 Starting EvoAI Core Service...
evocrm_evo_core.1.safnn86p596v@swdev    | 📊 Database: :5432/evo_community
evocrm_evo_core.1.safnn86p596v@swdev    | 🔄 Running migrations...
evocrm_evo_core.1.safnn86p596v@swdev    | ❌ Migration failed!
evocrm_evo_core.1.jgoihhivea1i@swdev    | 🚀 Starting EvoAI Core Service...
evocrm_evo_core.1.jgoihhivea1i@swdev    | 📊 Database: :5432/evo_community
evocrm_evo_core.1.jgoihhivea1i@swdev    | 🔄 Running migrations...
evocrm_evo_core.1.jgoihhivea1i@swdev    | ❌ Migration failed!
evocrm_evo_core.1.oo1h9oizejbd@swdev    | 🚀 Starting EvoAI Core Service...
evocrm_evo_core.1.oo1h9oizejbd@swdev    | 📊 Database: :5432/evo_community
evocrm_evo_core.1.oo1h9oizejbd@swdev    | 🔄 Running migrations...
evocrm_evo_core.1.oo1h9oizejbd@swdev    | ❌ Migration failed!
evocrm_evo_core.1.rddkw7mbpgyq@swdev    | 🚀 Starting EvoAI Core Service...
evocrm_evo_core.1.rddkw7mbpgyq@swdev    | 📊 Database: :5432/evo_community
evocrm_evo_core.1.rddkw7mbpgyq@swdev    | 🔄 Running migrations...
evocrm_evo_core.1.rddkw7mbpgyq@swdev    | ❌ Migration failed!
